Movie Name,Movie Code,Open date,Movie Type,Nation,Genre,Directors,companys
레전드 오브 타잔,20163661,20160629,장편,미국,액션,데이빗 예이츠,NA
레지던트 이블 5 : 최후의 심판,20127401,20120913,장편,미국,액션,폴 W.S. 앤더슨,NA
레지던트 이블: 파멸의 날,20168688,20170125,장편,미국,액션,폴 W.S. 앤더슨,NA
로건,20161827,20170301,장편,미국,액션,제임스 맨골드,NA
로그 원: 스타워즈 스토리,20163183,20161228,장편,미국,액션,가렛 에드워즈,NA
로렉스,20113889,20120503,장편,미국,애니메이션,크리스 리노드,NA
로보캅,20134587,20140213,장편,미국,액션,호세 파딜라,NA
"로봇, 소리",20157466,20160127,장편,한국,드라마,이호재,20168548/(주)영화사 좋은날
론 레인저,20136862,20130704,장편,미국,액션,고어 버빈스키,NA
롤러코스터,20122785,20131017,장편,한국,코미디,하정우,20126355/(주)판타지오픽쳐스
루시,20135656,20140903,장편,미국,액션,뤽 베송,NA
루퍼,20128270,20121011,장편,미국,SF,라이언 존슨,NA
리얼,20159647,20170628,장편,한국,액션,이사랑,20174961/(주)코브픽쳐스
리오 2,20138962,20140501,장편,미국,애니메이션,카를로스 살다나,NA
리틀 포레스트: 사계절,20175058,20180322,장편,일본,드라마,모리 준이치,NA
링컨: 뱀파이어 헌터,20125338,20120830,장편,미국,액션,티무르 베크맘베토브,NA
마녀,20185341,20180627,장편,한국,미스터리,박훈정,20161022/(주)영화사 금월
마다가스카3 : 이번엔 서커스다!,20124136,20120606,장편,미국,애니메이션,에릭 다넬,NA
마다가스카의 펭귄,20149859,20141231,장편,미국,애니메이션,에릭 다넬,NA
마담 뺑덕,20136863,20141002,장편,한국,멜로/로맨스,임필성,20062560/(주)영화사동물의왕국
마션,20151383,20151008,장편,미국,액션,리들리 스콧,NA
마스터,20161725,20161221,장편,한국,액션,조의석,20100450/영화사 집
마야2,20179228,20180201,장편,독일,애니메이션,노엘 클리어리,NA
마이 웨이,20110295,20111221,장편,한국,전쟁,강제규,20063309/(주)디렉터스
마이펫의 이중생활,20156082,20160803,장편,미국,애니메이션,크리스 리노드,NA
말레피센트,20148383,20140529,장편,미국,액션,로버트 스트롬버그,NA
매그니피센트 7,20163294,20160914,장편,미국,액션,안톤 후쿠아,NA
